Housing_Cost,Number of housing units,Median_Income,Occupied_Units,Total_Homelessness
"171566","234891","46662","217256","2002"
"162419","237735","47333","220060","1639"
"161611","239718","47399","222584","1431"
"164769","240277","47989","222491","1171"
"169789","240961","47413","222868","1254"
"172374","241326","47030","222098","1287"
"177316","242070","48127","221320","1222"
"184749","243402","49878","221119","1318"
"195616","244382","51128","222748","1340"
"209281","245476","52911","224166","1524"
"230736","247926","53936","229701","1586"
"268574","252924","56366","236191","1567"
"309295","255178","61503","239800","1277"
