Housing_Cost,Population,Median_Income,Occupied_Units,Total_Homelessness,TotalHousingUnits,Inflation
287331,595240,60665,280453,8952,302465,0.33
254806,603174,61856,282480,9022,304164,2.56
256336,612916,63470,285476,8972,306694,2.62
288632,624681,65277,288439,8899,309205,1.22
302913,637850,67365,290822,9106,311286,1.83
329175,653017,70594,296633,8949,315950,1.34
356518,668849,74458,304157,10122,322795,2.24
396982,688245,79565,314850,10730,334739,3
435367,708823,85562,323446,11643,344503,3.21
453289,724305,92263,331836,12112,354475,2.54
506074,741251,97185,344629,11199,367337,1.71
601436,726054,105391,337361,11751,362809,4.49
666139,734603,116068,345246,5183,372436,8.89
